WELL_NAME,LAT,LONG,X,Y
North Tasman-1,-40.198521899999996,173.27240780000002,333345.19926285703,295838.3115313213
MB-S(12),-39.6452487,173.31581819999997,336528.69957614073,357392.77581693634
Cheal-B4,-39.375433799999996,174.3074244,421515.23202263244,387625.2384563068
Tui-1,-39.434701200000006,173.246594,330392.12323003996,380753.124353736
Kahili-1A,-39.183052,174.3687407,426859.2507955504,409000.6351894108
Kupe South-1,-39.8547917,174.1141111,404865.5654664037,334350.15346173145
Honeysuckle-1,-39.1345651,174.30449030000003,421336.22126377776,414409.21659448836
Tuatara-1,-40.90073889999999,173.56126940000001,358309.24442754907,217909.8215832264
Wingrove-1,-39.3637554,174.40120530000002,429581.0075529165,388897.34619002446
Piakau North-A2,-39.297693599999995,174.3360265,424000.3310311618,396262.330733087
Ahuroa-5 ST1,-39.2652083,174.3406306,424407.82410595234,399873.28139892814
Turi-1,-38.490595299999995,174.4250359,432024.27899434074,485982.0296913734
Radnor-1B,-39.29988,174.26682,418044.5762982909,396035.28608162235
POB-02A,-38.9121672,174.27169530000003,418566.2693986532,439146.1046443702
West Cape-1,-39.422655999999996,172.97989669999998,307473.040479213,381853.59910823783
Mangahewa-06,-39.0520049,174.31093710000002,421917.9969464889,423587.9540706619
Kowhai-A_WDW,-39.0555997,174.2827304,419481.31310270005,423194.67896314187
MB-P(8),-39.645211700000004,173.3158564,336531.9365778663,357396.91676235135
Kapuni-3A,-39.50519179999999,174.1760385,410203.1025553259,373219.7856498899
Te Kiri-1,-39.3668861,173.88113059999998,384871.58176998876,388590.74062251166
Mokau-1,-38.7156789,174.4790581,436609.7355720592,460931.96806467586
Ngatoro-1,-39.2036654,174.17031930000002,409754.3504689255,406748.65879959357
Cheal-2,-39.3869674,174.3046495,421273.2112763418,386343.419211619
Turangi-1,-39.009146799999996,174.31493500000002,422276.7932104618,428352.5999856612
Waihi-1,-38.6558584,174.4902882,437615.9316189005,467579.3616313042
Ngatoro-6,-39.2039386,174.1707675,409792.9316360045,406718.2319784464
Ngatoro-13,-39.21139,174.18348999999998,410888.00915542647,405888.22161170875
Kupe South-7,-39.850922499999996,174.119978,405366.6957391616,334780.0797700983
Salisbury-1 ST1,-39.235302399999995,174.2218341,414186.7380446201,403223.9776917214
Cheal-A4,-39.3869628,174.3047086,421278.2917257058,386343.9168178532
Pukemai-3,-39.073636900000004,174.3421304,424604.00620401045,421174.56730118586
Ohanga-1,-39.0265723,174.3521451,425485.5773124098,426405.14888915967
Moturoa-6,-39.059618900000004,174.0436051,398833.582176587,422771.9502457238
Paritutu-1,-39.06085,174.02638330000002,397346.65822984,422634.69404456235
Ngatoro-8,-39.2038856,174.17032269999999,409754.61281191645,406724.1733273618
Pukemai-1B,-39.0735124,174.34209850000002,424601.296026547,421188.41974047653
Cardiff-1,-39.365745000000004,174.2821492,419345.40221201297,388708.28553983703
Korito-1,-39.188425,174.0864583,402528.9850498298,408449.003330341
Tabla-1,-39.211431299999994,174.1834034,410880.54165369336,405883.6396778071
Moana-1,-38.180384000000004,173.853158,382169.6715875968,520525.48208585463
Kowhai-A1,-39.0554389,174.2820722,419424.52393405966,423212.70059671986
Takapou-1,-39.2342723,173.1598916,322725.4338267893,402968.49299885286
